pid,hhd,relationship,age,age-group,gender,income,income-group,education,education-level,edu-year,edu-year-required,status,number,hhd-income,hhd-income-group,license,traffic,max-friend,min-friend,my-score,district,livelong,livelat,wslong,wslat,flexible,mandatory,residence-size,residence-cost,current-accessibility,move,marriage,divorce,birth,death,work,study,immigration,candidate-ws-dis,current-ws-dis,weekday-shopping,weekday-leisure,weekend-shopping,weekend-leisure,distance-max
26,26,1,34,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,114.0908567,22.56083649,114.2792508,22.66839408,0,0,1,2224800,0,0,0,0,0,0,0,0,0,0,99.84330272,2,5,2,2,10
27,27,1,32,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,114.0957448,22.54442098,113.8649922,22.79720284,0,0,1,2411100,0,0,0,0,0,0,0,0,0,0,157.5256098,2,0,2,1,10
28,28,1,29,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,40,20,0,0,114.0134819,22.6269261,113.8604257,22.79841952,0,0,1,2378376,0,0,0,0,0,0,0,0,0,0,105.7923471,1,3,2,1,10
29,29,1,28,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,8,2,0,0,114.0404352,22.56107122,113.8603881,22.78971246,0,0,1,2282850,0,0,0,0,0,0,0,0,0,0,133.9412158,1,2,2,1,10
30,30,1,29,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,113.9256338,22.51572657,114.3489082,22.76434466,0,0,1,2114014,0,0,0,0,0,0,0,0,0,0,225.9289782,0,5,0,2,10
31,31,1,32,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,114.11885,22.56581934,114.1382922,22.57066054,0,0,1,2274471,0,0,0,0,0,0,0,0,0,0,9.221399638,2,2,2,2,10
32,32,1,27,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,114.0145377,22.55724398,114.0495405,22.59965055,0,0,1,2727000,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,38
33,33,1,26,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,2,1,0,0,114.1245297,22.57408031,114.125392,22.59488349,0,0,1,1652715,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,10
34,34,1,32,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,113.993116,22.59373235,113.9939439,22.59402371,0,0,1,2659500,0,0,0,0,0,0,0,0,0,0,0,3,4,1,2,10
35,35,1,28,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,40,20,0,0,114.2178435,22.7323655,114.2328283,22.72176546,0,0,1,1682100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,10
36,36,1,28,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,114.0186815,22.63417359,114.0443687,22.60188752,0,0,1,1919268,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,38
37,37,1,29,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,114.2507405,22.71255687,114.2565533,22.72166574,0,0,1,990900,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,10
38,38,1,29,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,2,1,0,0,114.0478585,22.52515452,114.0548333,22.53589927,0,0,1,1767825,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,10
39,39,1,27,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,113.935579,22.53639634,113.8897551,22.77264868,0,0,1,2592000,0,0,0,0,0,0,0,0,0,0,110.7602722,4,5,2,2,25
40,40,1,33,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,113.9448743,22.54952583,113.9015615,22.71955435,0,0,1,2752326,0,0,0,0,0,0,0,0,0,0,80.7538026,1,3,1,2,38
41,41,1,25,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,8,2,0,0,114.0884063,22.54678497,114.2347118,22.55693067,0,0,1,2515757,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,75
42,42,1,27,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,40,20,0,0,114.0763185,22.56025754,114.0790509,22.54727143,0,0,1,2619000,0,0,0,0,0,0,0,0,0,0,6.107653807,4,1,0,1,10
43,43,1,26,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,113.9168393,22.50547271,113.9211685,22.48956803,0,0,1,2277450,0,0,0,0,0,0,0,0,0,0,7.58636904,4,1,0,0,10
44,44,1,33,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,2,1,0,0,113.906304,22.51810499,114.0139728,22.75095175,0,0,1,2218149,0,0,0,0,0,0,0,0,0,0,118.0687716,5,1,1,2,10
45,45,1,30,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,2,1,0,0,113.9196572,22.51147003,114.5420542,22.48906859,0,0,1,1539000,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,10
46,46,1,33,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,113.902988,22.51856299,113.9224649,22.52037317,0,0,1,2656800,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,10
47,47,1,32,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,2,1,0,0,113.9137794,22.55581774,113.9187309,22.57620516,0,0,1,2551500,0,0,0,0,0,0,0,0,0,0,9.655969233,3,5,1,2,10
48,48,1,27,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,40,20,0,0,113.8678879,22.5713629,113.8341494,22.62683087,0,0,1,1906200,0,0,0,0,0,0,0,0,0,0,29.88039663,0,3,1,1,38
49,49,1,30,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,114.1078769,22.53687969,114.0998616,22.55693538,0,0,1,1366594,0,0,0,0,0,0,0,0,0,0,9.940380778,2,0,0,1,10
50,50,1,27,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,113.9248696,22.49591843,113.9784448,22.5901607,0,0,1,2288757,0,0,0,0,0,0,0,0,0,0,49.89335108,1,4,5,0,50
51,51,1,31,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,114.0331052,22.56855579,113.936609,22.69505631,0,0,1,2103300,0,0,0,0,0,0,0,0,0,0,73.22645439,2,2,2,1,10
52,52,1,31,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,40,20,0,0,113.9609462,22.53262882,113.9952455,22.5333633,0,0,1,2983500,0,0,0,0,0,0,0,0,0,0,15.78967894,3,5,2,1,50
53,53,1,26,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,2,1,0,0,114.0858786,22.55626271,114.0453813,22.75277193,0,0,1,2879820,0,0,0,0,0,0,0,0,0,0,92.342853,5,5,4,1,10
54,54,1,32,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,40,20,0,0,114.0313355,22.55962384,114.053813,22.57336402,0,0,1,2708100,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,25
55,55,1,25,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,40,20,0,0,113.9337469,22.52261679,113.9792634,22.53515726,0,0,1,2705400,0,0,0,0,0,0,0,0,0,0,21.72926333,7,4,1,1,25
56,56,1,31,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,2,1,0,0,114.0858786,22.55626271,114.0923787,22.56380177,0,0,1,2879820,0,0,0,0,0,0,0,0,0,0,4.581425339,0,2,1,2,10
57,57,1,31,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,114.2078712,22.6531411,114.2587806,22.57845399,0,0,1,1107000,0,0,0,0,0,0,0,0,0,0,41.60041825,5,2,2,1,75
58,58,1,26,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,40,20,0,0,113.9042899,22.5665363,113.9017426,22.56271954,0,0,1,1824827,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,10
59,59,1,27,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,8,2,0,0,113.8922297,22.54960966,113.823794,22.74682377,0,0,1,2659500,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,100
60,60,1,25,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,114.059609,22.54860145,113.9843857,22.73744168,0,0,1,2737800,0,0,0,0,0,0,0,0,0,0,93.55442306,4,4,2,1,10
61,61,1,25,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,114.048206,22.54668049,114.0537597,22.57958843,0,0,1,2513700,0,0,0,0,0,0,0,0,0,0,15.35986642,1,5,1,2,25
62,62,1,34,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,2,1,0,0,114.0844342,22.54751853,114.0891792,22.54178278,0,0,1,2548800,0,0,0,0,0,0,0,0,0,0,3.426081314,5,1,3,2,10
63,63,1,34,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,2,1,0,0,113.8736143,22.57363596,113.8222272,22.72445532,0,0,1,1979734,0,0,0,0,0,0,0,0,0,0,0,5,3,3,2,75
64,64,1,28,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,114.1017136,22.57259824,114.0604378,22.53882833,0,0,1,1287000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,25
65,65,1,26,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,113.9122957,22.51269682,113.8895757,22.80671205,0,0,1,2631600,0,0,0,0,0,0,0,0,0,0,135.7222775,3,4,0,1,10
66,66,1,31,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,2,1,0,0,114.0909507,22.57035482,113.8661029,22.75930169,0,0,1,1422900,0,0,0,0,0,0,0,0,0,0,135.1720208,0,1,1,2,10
67,67,1,30,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,2,1,0,0,114.0151204,22.63547529,114.2237726,22.65744553,0,0,1,2008732,0,0,0,0,0,0,0,0,0,0,96.5618941,0,4,1,1,10
68,68,1,34,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,2,1,0,0,113.9382846,22.54399802,113.884149,22.54593081,0,0,1,2635965,0,0,0,0,0,0,0,0,0,0,24.93148027,1,1,1,2,38
69,69,1,29,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,114.0402733,22.54695267,114.0490229,22.63510087,0,0,1,2324700,0,0,0,0,0,0,0,0,0,0,40.76908154,7,3,2,2,10
70,70,1,29,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,113.9863711,22.5576736,113.9820502,22.54016474,0,0,1,2451600,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,10
71,71,1,34,3,1,150000,0,6,2,0,0,2,1,150000,0,0,0,19,8,0,0,113.9202953,22.48964389,113.9316691,22.49103627,0,0,1,1927143,0,0,0,0,0,0,0,0,0,0,5.273807126,8,3,2,2,10
72,72,1,25,3,0,150000,0,3,1,0,3,2,1,150000,0,0,0,19,8,0,0,113.9281487,22.51180739,113.9190048,22.53025345,0,0,1,2530575,0,0,0,0,0,0,0,0,0,0,0,2,4,3,2,10
73,73,1,29,3,0,150000,0,5,1,0,0,2,1,150000,0,0,0,19,8,0,0,114.0354747,22.52564391,114.2834069,22.66229613,0,0,1,1748250,0,0,0,0,0,0,0,0,0,0,130.2940412,8,0,1,2,38
74,74,1,31,3,0,150000,0,3,1,0,3,2,1,150000,0,0,0,19,8,0,0,114.0639037,22.53085766,113.980651,22.70610151,0,0,1,1755900,0,0,0,0,0,0,0,0,0,0,89.29383705,2,5,2,1,10
75,75,1,27,3,0,150000,0,1,1,0,3,2,1,150000,0,0,0,2,1,0,0,114.0109379,22.56738903,114.0305432,22.56786856,0,0,1,2613600,0,0,0,0,0,0,0,0,0,0,9.025927778,3,4,2,1,10
76,76,1,26,3,0,150000,0,3,1,0,3,2,1,150000,0,0,0,8,2,0,0,114.0611423,22.53592798,113.8594129,22.76057567,0,0,1,2035800,0,0,0,0,0,0,0,0,0,0,138.9612881,1,3,4,2,10
77,77,1,33,3,0,150000,0,5,1,0,0,2,1,150000,0,0,0,19,8,0,0,114.0844981,22.55396949,113.9032438,22.72744574,0,0,1,2700000,0,0,0,0,0,0,0,0,0,0,115.4719396,4,2,2,1,50
78,78,1,25,3,0,150000,0,4,1,0,3,2,1,150000,0,0,0,2,1,0,0,114.0215488,22.62928066,114.0305019,22.62003586,0,0,1,2443500,0,0,0,0,0,0,0,0,0,0,5.923120318,0,3,2,2,10
79,79,1,25,3,0,150000,0,5,1,0,0,2,1,150000,0,0,0,40,20,0,0,113.9137794,22.55581774,114.2482186,22.597762,0,0,1,2551500,0,0,0,0,0,0,0,0,0,0,155.1295984,0,2,1,2,10
80,80,1,29,3,0,150000,0,3,1,0,3,2,1,150000,0,0,0,2,1,0,0,113.9477232,22.53044909,113.9233533,22.58496019,0,0,1,2636037,0,0,0,0,0,0,0,0,0,0,27.48145366,1,4,4,2,50
81,81,1,31,3,0,150000,0,2,1,0,6,2,1,150000,0,0,0,19,8,0,0,114.0145377,22.55724398,113.9522202,22.74086001,0,0,1,2727000,0,0,0,0,0,0,0,0,0,0,89.24269894,1,0,0,2,10
82,82,1,34,3,0,150000,0,2,1,0,6,2,1,150000,0,0,0,19,8,0,0,113.9309062,22.52346443,113.9415958,22.53640187,0,0,1,2745900,0,0,0,0,0,0,0,0,0,0,7.723949738,4,2,3,1,10
83,83,1,26,3,0,150000,0,3,1,0,3,2,1,150000,0,0,0,2,1,0,0,114.1218045,22.57112173,114.1091996,22.58050961,0,0,1,2212234,0,0,0,0,0,0,0,0,0,0,7.233539443,0,4,1,1,10
84,84,1,33,3,0,150000,0,2,1,0,6,2,1,150000,0,0,0,2,1,0,0,114.1056468,22.59296702,114.1114251,22.54676029,0,0,1,928800,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,25
85,85,1,30,3,0,150000,0,4,1,0,3,2,1,150000,0,0,0,40,20,0,0,114.0386285,22.55495065,114.035203,22.55718007,0,0,1,2196180,0,0,0,0,0,0,0,0,0,0,1.881063522,5,2,2,2,10
86,86,1,26,3,0,150000,0,4,1,0,3,2,1,150000,0,0,0,19,8,0,0,114.059609,22.54860145,114.07856,22.54555986,0,0,1,2737800,0,0,0,0,0,0,0,0,0,0,0,10,4,1,2,10
87,87,1,25,3,0,150000,0,1,1,0,3,2,1,150000,0,0,0,2,1,0,0,114.0225579,22.60437566,114.0529662,22.66152243,0,0,1,2403000,0,0,0,0,0,0,0,0,0,0,29.79320101,9,1,1,2,38
88,88,1,27,3,0,150000,0,5,1,0,0,2,1,150000,0,0,0,19,8,0,0,114.039483,22.54536204,114.0493414,22.5279925,0,0,1,2027700,0,0,0,0,0,0,0,0,0,0,9.192095034,1,2,2,1,10
89,89,1,31,3,0,150000,0,1,1,0,3,2,1,150000,0,0,0,40,20,0,0,113.9282269,22.49166111,113.863564,22.77118378,0,0,1,2169117,0,0,0,0,0,0,0,0,0,0,132.0462003,3,2,4,2,38
90,90,1,33,3,0,150000,0,2,1,0,6,2,1,150000,0,0,0,19,8,0,0,113.9122957,22.51269682,113.9224649,22.52037317,0,0,1,2631600,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,10
91,91,1,25,3,0,150000,0,3,1,0,3,2,1,150000,0,0,0,40,20,0,0,113.9382846,22.54399802,114.3533694,22.67641578,0,0,1,2635965,0,0,0,0,0,0,0,0,0,0,200.5260269,8,5,1,0,38
92,92,1,27,3,0,150000,0,2,1,0,6,2,1,150000,0,0,0,2,1,0,0,114.1178066,22.60123914,114.1020648,22.59017166,0,0,1,1157760,0,0,0,0,0,0,0,0,0,0,8.856486526,2,3,2,2,10
93,93,1,29,3,0,150000,0,1,1,0,3,2,1,150000,0,0,0,2,1,0,0,113.9609462,22.53262882,114.1027893,22.59637715,0,0,1,2983500,0,0,0,0,0,0,0,0,0,0,71.57253582,10,2,1,1,75
94,94,1,30,3,0,150000,0,2,1,0,6,2,1,150000,0,0,0,8,2,0,0,113.9105138,22.58366547,113.9233533,22.58496019,0,0,1,1755000,0,0,0,0,0,0,0,0,0,0,5.939275996,2,1,1,2,10
95,95,1,25,3,0,150000,0,5,1,0,0,2,1,150000,0,0,0,19,8,0,0,113.9296542,22.51692758,114.3122933,22.69246974,0,0,1,2835000,0,0,0,0,0,0,0,0,0,0,193.7556298,4,3,1,1,50
96,96,1,32,3,0,150000,0,2,1,0,6,2,1,150000,0,0,0,2,1,0,0,114.021228,22.53092009,113.8871199,22.7781799,0,0,1,2481300,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,10
97,97,1,34,3,0,150000,0,4,1,0,3,2,1,150000,0,0,0,2,1,0,0,114.0985441,22.56529973,114.1050212,22.56158505,0,0,1,1834200,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,10
98,98,1,32,3,0,150000,0,4,1,0,3,2,1,150000,0,0,0,19,8,0,0,114.1218045,22.57112173,114.1046557,22.59398831,0,0,1,2212234,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,25
99,99,1,33,3,0,150000,0,4,1,0,3,2,1,150000,0,0,0,2,1,0,0,114.0966175,22.55546143,113.9175271,22.72183077,0,0,1,2404350,0,0,0,0,0,0,0,0,0,0,112.5032795,5,1,0,2,38
100,100,1,34,3,0,150000,0,5,1,0,0,2,1,150000,0,0,0,2,1,0,0,113.8624756,22.5662248,113.936609,22.69505631,0,0,1,2295000,0,0,0,0,0,0,0,0,0,0,68.40990276,4,1,3,1,75
101,101,1,33,3,0,150000,0,1,1,0,3,2,1,150000,0,0,0,2,1,0,0,114.0591583,22.56203771,114.064592,22.5648517,0,0,1,2031300,0,0,0,0,0,0,0,0,0,0,2.816290795,3,2,2,1,10
102,102,1,25,3,0,150000,0,5,1,0,0,2,1,150000,0,0,0,19,8,0,0,113.9574537,22.57223028,113.9514808,22.57933839,0,0,1,1962000,0,0,0,0,0,0,0,0,0,0,4.273109725,1,2,2,4,10
103,103,1,27,3,0,150000,0,1,1,0,3,2,1,150000,0,0,0,19,8,0,0,113.9317283,22.49017464,114.2169694,22.61605202,0,0,1,2143854,0,0,0,0,0,0,0,0,0,0,143.4956058,0,4,2,2,10
104,104,1,30,3,0,150000,0,3,1,0,3,2,1,150000,0,0,0,19,8,0,0,113.9195337,22.53600685,113.9010949,22.53684355,0,0,1,2070423,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,10
105,105,1,28,3,0,150000,0,3,1,0,3,2,1,150000,0,0,0,19,8,0,0,113.922905,22.52892951,113.8276875,22.72981511,0,0,1,2039580,0,0,0,0,0,0,0,0,0,0,102.3165761,2,0,3,1,10
106,106,1,30,3,0,150000,0,2,1,0,6,2,1,150000,0,0,0,40,20,0,0,114.0204046,22.53807139,114.0604378,22.53882833,0,0,1,2409635,0,0,0,0,0,0,0,0,0,0,0,9,3,2,1,38
107,107,1,34,3,0,150000,0,1,1,0,3,2,1,150000,0,0,0,19,8,0,0,113.8772696,22.56713794,113.8827467,22.56853415,0,0,1,2386800,0,0,0,0,0,0,0,0,0,0,0,3,4,1,1,10
108,108,1,30,3,0,150000,0,1,1,0,3,2,1,150000,0,0,0,8,2,0,0,113.9296542,22.51692758,114.5580421,22.55634191,0,0,1,2835000,0,0,0,0,0,0,0,0,0,0,289.7803435,0,1,1,1,10
109,109,1,33,3,0,150000,0,1,1,0,3,2,1,150000,0,0,0,19,8,0,0,113.9235876,22.4942459,113.9237549,22.4936901,0,0,1,2026825,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,10
110,110,1,30,3,0,150000,0,2,1,0,6,2,1,150000,0,0,0,8,2,0,0,114.0378911,22.55018212,114.0527624,22.63151064,0,0,1,2195100,0,0,0,0,0,0,0,0,0,0,38.05161717,1,4,1,1,10
111,111,1,31,3,0,150000,0,4,1,0,3,2,1,150000,0,0,0,19,8,0,0,113.874393,22.59737933,113.8564083,22.58683717,0,0,1,2163132,0,0,0,0,0,0,0,0,0,0,9.594594909,4,1,1,1,10
112,112,1,26,3,0,150000,0,5,1,0,0,2,1,150000,0,0,0,2,1,0,0,113.8957434,22.53233885,113.9102712,22.54288065,0,0,1,3270253,0,0,0,0,0,0,0,0,0,0,8.26118171,2,4,2,2,10
113,113,1,34,3,0,150000,0,5,1,0,0,2,1,150000,0,0,0,19,8,0,0,113.9299459,22.74871131,113.8824366,22.76793183,0,0,1,1401300,0,0,0,0,0,0,0,0,0,0,23.587522,5,5,1,2,25
114,114,1,27,3,0,150000,0,2,1,0,6,2,1,150000,0,0,0,40,20,0,0,113.9013839,22.5753663,113.9135272,22.58961306,0,0,1,2329323,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,10
115,115,1,30,3,0,150000,0,2,1,0,6,2,1,150000,0,0,0,19,8,0,0,114.0181437,22.55644728,114.0111018,22.54849473,0,0,1,2699325,0,0,0,0,0,0,0,0,0,0,4.88881377,1,1,0,2,10
116,116,1,30,3,0,150000,0,4,1,0,3,2,1,150000,0,0,0,8,2,0,0,113.9727779,22.56181651,113.9687383,22.56227034,0,0,1,1798200,0,0,0,0,0,0,0,0,0,0,0,10,1,4,0,10
117,117,1,31,3,0,150000,0,4,1,0,3,2,1,150000,0,0,0,19,8,0,0,113.880545,22.56089154,114.3064406,22.77130579,0,0,1,2386800,0,0,0,0,0,0,0,0,0,0,218.6336254,3,0,1,2,25
118,118,1,32,3,0,150000,0,2,1,0,6,2,1,150000,0,0,0,8,2,0,0,114.0615065,22.56363477,113.8059591,22.72585783,0,0,1,1926900,0,0,0,0,0,0,0,0,0,0,139.3110352,8,5,3,1,10
