hid,pid,Gender,Age_group,Education,Income,license,status,Education_detailed,number,Long,Lat
35,62,0,2,2,3740,1,1,8,2,0,0
35,63,1,7,1,2204,1,4,3,2,0,0
36,64,0,2,2,3740,1,1,8,2,0,0
36,65,1,7,1,2204,1,4,3,2,0,0
37,66,0,2,2,3740,1,1,8,2,0,0
37,67,1,7,1,2204,1,4,3,2,0,0
38,68,0,2,2,3740,1,1,8,2,0,0
38,69,1,7,1,2204,1,4,3,2,0,0
39,70,0,2,2,3740,1,1,8,2,0,0
39,71,1,7,1,2204,1,4,3,2,0,0
40,72,0,2,2,3740,1,1,8,2,0,0
40,73,1,7,1,2204,1,4,3,2,0,0
41,74,0,2,2,3740,1,1,8,2,0,0
41,75,1,7,1,2204,1,4,3,2,0,0
42,76,0,2,2,3740,1,1,8,2,0,0
42,77,1,7,1,2204,1,4,3,2,0,0
43,78,0,2,2,3740,1,1,8,2,0,0
43,79,1,7,1,2204,1,4,3,2,0,0
44,80,0,2,2,3740,1,1,8,2,0,0
44,81,1,7,1,2204,1,4,3,2,0,0
45,82,0,2,2,3740,1,1,8,2,0,0
45,83,1,7,1,2204,1,4,3,2,0,0
46,84,0,2,2,3740,1,1,8,2,0,0
46,85,1,7,1,2204,1,4,3,2,0,0
47,86,0,2,2,3740,1,1,8,2,0,0
47,87,1,7,1,2204,1,4,3,2,0,0
48,88,0,2,2,3740,1,1,8,2,0,0
48,89,1,7,1,2204,1,4,3,2,0,0
49,90,0,2,2,3740,1,1,8,2,0,0
49,91,1,7,1,2204,1,4,3,2,0,0
50,92,0,2,2,3740,1,1,8,2,0,0
50,93,1,7,1,2204,1,4,3,2,0,0
51,94,0,2,2,3740,1,1,8,2,0,0
51,95,1,7,1,2204,1,4,3,2,0,0
52,96,0,2,2,3740,1,1,8,2,0,0
52,97,1,7,1,2204,1,4,3,2,0,0
53,98,0,2,2,3740,1,1,8,2,0,0
53,99,1,7,1,2204,1,4,3,2,0,0
54,100,0,2,2,3740,1,1,8,2,0,0
54,101,1,7,1,2204,1,4,3,2,0,0
55,102,0,2,2,3740,1,1,8,2,0,0
55,103,1,7,1,2204,1,4,3,2,0,0
56,104,1,3,2,10086,0,2,6,1,0,0
57,105,1,3,2,10086,0,2,6,1,0,0
58,106,1,3,2,10086,0,2,6,1,0,0
59,107,1,3,2,10086,0,2,6,1,0,0
60,108,1,3,2,10086,0,2,6,1,0,0
61,109,1,3,2,10086,0,2,6,1,0,0
62,110,1,3,2,10086,0,2,6,1,0,0
63,111,0,3,2,10745,0,2,6,4,0,0
63,112,1,3,2,13637,1,2,6,4,0,0
63,113,0,5,2,2897,1,2,6,4,0,0
63,114,1,6,3,3057,0,2,7,4,0,0
64,115,1,1,1,0,0,1,2,5,0,0
64,116,0,2,2,2448,0,2,6,5,0,0
64,117,1,3,2,6225,1,2,8,5,0,0
64,118,0,3,2,7480,0,2,6,5,0,0
64,119,1,4,4,2319,0,2,9,5,0,0
65,120,1,1,1,0,0,1,2,5,0,0
65,121,0,2,2,2448,0,2,6,5,0,0
65,122,1,3,2,6225,1,2,8,5,0,0
65,123,0,3,2,7480,0,2,6,5,0,0
65,124,1,4,4,2319,0,2,9,5,0,0
66,125,1,1,1,0,0,1,2,5,0,0
66,126,0,2,2,2448,0,2,6,5,0,0
66,127,1,3,2,6225,1,2,8,5,0,0
66,128,0,3,2,7480,0,2,6,5,0,0
66,129,1,4,4,2319,0,2,9,5,0,0
67,130,1,1,1,0,0,1,2,5,0,0
67,131,0,2,2,2448,0,2,6,5,0,0
67,132,1,3,2,6225,1,2,8,5,0,0
67,133,0,3,2,7480,0,2,6,5,0,0
67,134,1,4,4,2319,0,2,9,5,0,0
68,135,1,1,1,0,0,1,2,5,0,0
68,136,0,2,2,2448,0,2,6,5,0,0
68,137,1,3,2,6225,1,2,8,5,0,0
68,138,0,3,2,7480,0,2,6,5,0,0
68,139,1,4,4,2319,0,2,9,5,0,0
69,140,1,1,1,0,0,1,2,5,0,0
69,141,0,2,2,2448,0,2,6,5,0,0
69,142,1,3,2,6225,1,2,8,5,0,0
69,143,0,3,2,7480,0,2,6,5,0,0
69,144,1,4,4,2319,0,2,9,5,0,0
70,145,1,1,1,0,0,1,2,5,0,0
70,146,0,2,2,2448,0,2,6,5,0,0
70,147,1,3,2,6225,1,2,8,5,0,0
70,148,0,3,2,7480,0,2,6,5,0,0
70,149,1,4,4,2319,0,2,9,5,0,0
71,150,1,1,1,0,0,1,2,5,0,0
71,151,0,2,2,2448,0,2,6,5,0,0
71,152,1,3,2,6225,1,2,8,5,0,0
71,153,0,3,2,7480,0,2,6,5,0,0
71,154,1,4,4,2319,0,2,9,5,0,0
72,155,1,1,1,0,0,1,2,5,0,0
72,156,0,2,2,2448,0,2,6,5,0,0
72,157,1,3,2,6225,1,2,8,5,0,0
72,158,0,3,2,7480,0,2,6,5,0,0
72,159,1,4,4,2319,0,2,9,5,0,0
73,160,1,3,2,22432,1,2,6,5,0,0
73,161,0,3,3,21800,1,2,7,5,0,0
73,162,0,5,4,2893,0,2,10,5,0,0
73,163,1,7,4,5,0,4,10,5,0,0
73,164,1,7,1,2526,1,4,4,5,0,0
74,165,1,3,2,22432,1,2,6,5,0,0
74,166,0,3,3,21800,1,2,7,5,0,0
74,167,0,5,4,2893,0,2,10,5,0,0
74,168,1,7,4,5,0,4,10,5,0,0
74,169,1,7,1,2526,1,4,4,5,0,0
75,170,1,3,2,22432,1,2,6,5,0,0
75,171,0,3,3,21800,1,2,7,5,0,0
75,172,0,5,4,2893,0,2,10,5,0,0
75,173,1,7,4,5,0,4,10,5,0,0
75,174,1,7,1,2526,1,4,4,5,0,0
76,175,1,3,2,22432,1,2,6,5,0,0
76,176,0,3,3,21800,1,2,7,5,0,0
76,177,0,5,4,2893,0,2,10,5,0,0
76,178,1,7,4,5,0,4,10,5,0,0
76,179,1,7,1,2526,1,4,4,5,0,0
77,180,1,3,2,22432,1,2,6,5,0,0
77,181,0,3,3,21800,1,2,7,5,0,0
77,182,0,5,4,2893,0,2,10,5,0,0
77,183,1,7,4,5,0,4,10,5,0,0
77,184,1,7,1,2526,1,4,4,5,0,0
78,185,1,3,2,22432,1,2,6,5,0,0
78,186,0,3,3,21800,1,2,7,5,0,0
78,187,0,5,4,2893,0,2,10,5,0,0
78,188,1,7,4,5,0,4,10,5,0,0
78,189,1,7,1,2526,1,4,4,5,0,0
79,190,1,3,2,22432,1,2,6,5,0,0
79,191,0,3,3,21800,1,2,7,5,0,0
79,192,0,5,4,2893,0,2,10,5,0,0
79,193,1,7,4,5,0,4,10,5,0,0
79,194,1,7,1,2526,1,4,4,5,0,0
80,195,1,3,2,22432,1,2,6,5,0,0
80,196,0,3,3,21800,1,2,7,5,0,0
80,197,0,5,4,2893,0,2,10,5,0,0
80,198,1,7,4,5,0,4,10,5,0,0
80,199,1,7,1,2526,1,4,4,5,0,0
81,200,1,1,1,0,0,1,4,6,0,0
81,201,1,3,2,9110,0,2,6,6,0,0
81,202,0,3,2,9253,0,2,8,6,0,0
81,203,0,4,4,3661,1,2,9,6,0,0
81,204,1,4,2,3700,0,2,8,6,0,0
81,205,1,5,4,3826,1,2,9,6,0,0
82,206,1,1,1,0,0,1,4,6,0,0
82,207,1,3,2,9110,0,2,6,6,0,0
82,208,0,3,2,9253,0,2,8,6,0,0
82,209,0,4,4,3661,1,2,9,6,0,0
82,210,1,4,2,3700,0,2,8,6,0,0
82,211,1,5,4,3826,1,2,9,6,0,0
83,212,1,1,1,0,0,1,4,6,0,0
83,213,1,3,2,9110,0,2,6,6,0,0
83,214,0,3,2,9253,0,2,8,6,0,0
83,215,0,4,4,3661,1,2,9,6,0,0
83,216,1,4,2,3700,0,2,8,6,0,0
83,217,1,5,4,3826,1,2,9,6,0,0
84,218,1,1,1,0,0,1,4,6,0,0
84,219,1,3,2,9110,0,2,6,6,0,0
84,220,0,3,2,9253,0,2,8,6,0,0
84,221,0,4,4,3661,1,2,9,6,0,0
84,222,1,4,2,3700,0,2,8,6,0,0
84,223,1,5,4,3826,1,2,9,6,0,0
85,224,1,1,1,0,0,1,4,6,0,0
85,225,1,3,2,9110,0,2,6,6,0,0
85,226,0,3,2,9253,0,2,8,6,0,0
85,227,0,4,4,3661,1,2,9,6,0,0
85,228,1,4,2,3700,0,2,8,6,0,0
85,229,1,5,4,3826,1,2,9,6,0,0
86,230,1,1,1,0,0,1,4,6,0,0
86,231,1,3,2,9110,0,2,6,6,0,0
86,232,0,3,2,9253,0,2,8,6,0,0
86,233,0,4,4,3661,1,2,9,6,0,0
86,234,1,4,2,3700,0,2,8,6,0,0
86,235,1,5,4,3826,1,2,9,6,0,0
87,236,1,1,1,0,0,1,4,6,0,0
87,237,1,3,2,9110,0,2,6,6,0,0
87,238,0,3,2,9253,0,2,8,6,0,0
87,239,0,4,4,3661,1,2,9,6,0,0
87,240,1,4,2,3700,0,2,8,6,0,0
87,241,1,5,4,3826,1,2,9,6,0,0
88,242,1,3,2,11202,1,2,8,1,0,0
89,243,0,3,2,9809,1,2,6,2,0,0
89,244,1,3,2,9930,0,2,6,2,0,0
90,245,0,3,2,9809,1,2,6,2,0,0
90,246,1,3,2,9930,0,2,6,2,0,0
91,247,0,3,1,14237,0,2,3,1,0,0
92,248,0,3,1,14237,0,2,3,1,0,0
93,249,0,3,1,14237,0,2,3,1,0,0
94,250,0,3,1,14237,0,2,3,1,0,0
95,251,0,3,1,14237,0,2,3,1,0,0
96,252,0,3,1,14237,0,2,3,1,0,0
97,253,0,3,1,14237,0,2,3,1,0,0
98,254,0,3,1,14237,0,2,3,1,0,0
99,255,0,3,1,14237,0,2,3,1,0,0
100,256,0,3,1,14237,0,2,3,1,0,0
101,257,0,3,1,14237,0,2,3,1,0,0
102,258,0,3,1,14237,0,2,3,1,0,0
103,259,0,3,1,14237,0,2,3,1,0,0
104,260,0,3,1,14237,0,2,3,1,0,0
105,261,0,3,1,14237,0,2,3,1,0,0
106,262,0,3,1,14237,0,2,3,1,0,0
107,263,0,3,1,14237,0,2,3,1,0,0
108,264,0,3,1,14237,0,2,3,1,0,0
109,265,0,3,1,14237,0,2,3,1,0,0
110,266,0,3,1,14237,0,2,3,1,0,0
111,267,0,3,1,14237,0,2,3,1,0,0
112,268,0,3,1,14237,0,2,3,1,0,0
113,269,0,3,1,14237,0,2,3,1,0,0
114,270,0,3,1,14237,0,2,3,1,0,0
115,271,0,3,1,14237,0,2,3,1,0,0
116,272,0,3,1,14237,0,2,3,1,0,0
117,273,0,3,1,14237,0,2,3,1,0,0
118,274,0,3,1,14237,0,2,3,1,0,0
119,275,0,3,1,14237,0,2,3,1,0,0
120,276,0,3,1,14237,0,2,3,1,0,0
121,277,0,3,1,14237,0,2,3,1,0,0
122,278,0,3,1,14237,0,2,3,1,0,0
123,279,0,3,1,14237,0,2,3,1,0,0
124,280,0,3,1,14237,0,2,3,1,0,0
125,281,0,3,1,14237,0,2,3,1,0,0
126,282,0,3,1,14237,0,2,3,1,0,0
127,283,0,3,1,14237,0,2,3,1,0,0
128,284,0,3,1,14237,0,2,3,1,0,0
129,285,0,3,1,14237,0,2,3,1,0,0
130,286,0,3,1,14237,0,2,3,1,0,0
131,287,0,3,1,14237,0,2,3,1,0,0
132,288,0,3,2,5231,0,2,6,1,0,0
133,289,1,1,1,0,0,1,2,3,0,0
133,290,0,3,3,21772,1,2,7,3,0,0
133,291,0,7,2,1423,1,4,6,3,0,0
134,292,1,1,1,0,0,1,2,3,0,0
134,293,0,3,3,21772,1,2,7,3,0,0
134,294,0,7,2,1423,1,4,6,3,0,0
135,295,1,1,1,0,0,1,2,3,0,0
135,296,0,3,3,21772,1,2,7,3,0,0
135,297,0,7,2,1423,1,4,6,3,0,0
136,298,0,3,2,11337,1,2,8,1,0,0
137,299,1,3,2,5965,0,2,8,2,0,0
137,300,0,3,2,5675,0,2,6,2,0,0
138,301,1,3,2,5965,0,2,8,2,0,0
138,302,0,3,2,5675,0,2,6,2,0,0
139,303,1,3,2,5965,0,2,8,2,0,0
139,304,0,3,2,5675,0,2,6,2,0,0
140,305,1,3,2,5965,0,2,8,2,0,0
140,306,0,3,2,5675,0,2,6,2,0,0
141,307,1,3,2,5965,0,2,8,2,0,0
141,308,0,3,2,5675,0,2,6,2,0,0
142,309,1,3,2,5965,0,2,8,2,0,0
142,310,0,3,2,5675,0,2,6,2,0,0
143,311,1,3,2,5965,0,2,8,2,0,0
143,312,0,3,2,5675,0,2,6,2,0,0
144,313,1,3,2,5965,0,2,8,2,0,0
144,314,0,3,2,5675,0,2,6,2,0,0
145,315,1,3,2,5965,0,2,8,2,0,0
145,316,0,3,2,5675,0,2,6,2,0,0
146,317,1,3,2,5965,0,2,8,2,0,0
146,318,0,3,2,5675,0,2,6,2,0,0
147,319,1,3,2,5965,0,2,8,2,0,0
147,320,0,3,2,5675,0,2,6,2,0,0
148,321,1,3,2,5965,0,2,8,2,0,0
148,322,0,3,2,5675,0,2,6,2,0,0
149,323,1,3,2,5965,0,2,8,2,0,0
149,324,0,3,2,5675,0,2,6,2,0,0
150,325,1,3,2,5965,0,2,8,2,0,0
150,326,0,3,2,5675,0,2,6,2,0,0
151,327,1,3,2,5965,0,2,8,2,0,0
151,328,0,3,2,5675,0,2,6,2,0,0
152,329,1,3,2,5965,0,2,8,2,0,0
152,330,0,3,2,5675,0,2,6,2,0,0
153,331,1,3,2,5965,0,2,8,2,0,0
153,332,0,3,2,5675,0,2,6,2,0,0
154,333,1,3,2,5965,0,2,8,2,0,0
154,334,0,3,2,5675,0,2,6,2,0,0
155,335,1,3,2,5965,0,2,8,2,0,0
155,336,0,3,2,5675,0,2,6,2,0,0
156,337,1,3,2,5965,0,2,8,2,0,0
156,338,0,3,2,5675,0,2,6,2,0,0
157,339,1,3,2,5965,0,2,8,2,0,0
157,340,0,3,2,5675,0,2,6,2,0,0
158,341,1,3,2,5965,0,2,8,2,0,0
158,342,0,3,2,5675,0,2,6,2,0,0
159,343,1,3,2,5965,0,2,8,2,0,0
159,344,0,3,2,5675,0,2,6,2,0,0
160,345,1,3,2,5965,0,2,8,2,0,0
160,346,0,3,2,5675,0,2,6,2,0,0
161,347,1,3,2,5965,0,2,8,2,0,0
161,348,0,3,2,5675,0,2,6,2,0,0
162,349,1,3,2,5965,0,2,8,2,0,0
162,350,0,3,2,5675,0,2,6,2,0,0
163,351,1,3,2,5965,0,2,8,2,0,0
163,352,0,3,2,5675,0,2,6,2,0,0
164,353,1,3,1,2351,0,2,4,1,0,0
165,354,1,3,1,2351,0,2,4,1,0,0
166,355,1,3,1,2351,0,2,4,1,0,0
167,356,1,3,1,2351,0,2,4,1,0,0
168,357,1,3,1,2351,0,2,4,1,0,0
169,358,1,3,1,2351,0,2,4,1,0,0
170,359,1,3,1,2351,0,2,4,1,0,0
171,360,1,3,1,2351,0,2,4,1,0,0
172,361,1,3,1,2351,0,2,4,1,0,0
173,362,1,3,1,2351,0,2,4,1,0,0
174,363,1,3,1,2351,0,2,4,1,0,0
175,364,1,3,1,2351,0,2,4,1,0,0
176,365,1,3,1,2351,0,2,4,1,0,0
177,366,1,3,1,2351,0,2,4,1,0,0
178,367,1,3,1,2351,0,2,4,1,0,0
179,368,1,3,1,2351,0,2,4,1,0,0
180,369,1,3,1,2351,0,2,4,1,0,0
181,370,1,3,1,2351,0,2,4,1,0,0
182,371,1,3,1,2351,0,2,4,1,0,0
183,372,1,3,1,2351,0,2,4,1,0,0
184,373,1,3,1,2351,0,2,4,1,0,0
185,374,1,3,1,2351,0,2,4,1,0,0
186,375,1,3,1,2351,0,2,4,1,0,0
187,376,1,3,1,2351,0,2,4,1,0,0
188,377,1,3,1,2351,0,2,4,1,0,0
189,378,1,3,1,2351,0,2,4,1,0,0
190,379,1,3,1,2351,0,2,4,1,0,0
191,380,1,3,1,2351,0,2,4,1,0,0
192,381,1,3,1,2351,0,2,4,1,0,0
193,382,1,3,1,2351,0,2,4,1,0,0
194,383,1,3,1,2351,0,2,4,1,0,0
195,384,1,3,1,2351,0,2,4,1,0,0
196,385,1,3,1,2351,0,2,4,1,0,0
197,386,1,3,1,2351,0,2,4,1,0,0
198,387,1,3,1,2351,0,2,4,1,0,0
199,388,1,3,1,2351,0,2,4,1,0,0
200,389,1,3,1,2351,0,2,4,1,0,0
201,390,1,3,1,2351,0,2,4,1,0,0
202,391,1,3,1,2351,0,2,4,1,0,0
203,392,1,3,1,2351,0,2,4,1,0,0
204,393,1,3,1,2351,0,2,4,1,0,0
205,394,1,3,1,2351,0,2,4,1,0,0
206,395,1,3,1,2351,0,2,4,1,0,0
207,396,1,3,1,2351,0,2,4,1,0,0
208,397,1,3,1,2351,0,2,4,1,0,0
209,398,1,3,1,2351,0,2,4,1,0,0
210,399,1,3,1,2351,0,2,4,1,0,0
211,400,1,3,1,2351,0,2,4,1,0,0
212,401,1,3,1,2351,0,2,4,1,0,0
213,402,1,3,1,2351,0,2,4,1,0,0
214,403,1,3,1,2351,0,2,4,1,0,0
215,404,1,3,1,2351,0,2,4,1,0,0
216,405,1,3,1,2351,0,2,4,1,0,0
217,406,1,3,1,2351,0,2,4,1,0,0
218,407,1,3,1,2351,0,2,4,1,0,0
219,408,1,3,1,2351,0,2,4,1,0,0
220,409,1,3,1,2351,0,2,4,1,0,0
221,410,1,3,1,2351,0,2,4,1,0,0
222,411,1,3,1,2351,0,2,4,1,0,0
223,412,1,3,1,2351,0,2,4,1,0,0
224,413,1,3,1,2351,0,2,4,1,0,0
225,414,1,3,1,2351,0,2,4,1,0,0
226,415,1,3,1,2351,0,2,4,1,0,0
227,416,1,3,1,2351,0,2,4,1,0,0
228,417,1,3,1,2351,0,2,4,1,0,0
229,418,1,3,1,2351,0,2,4,1,0,0
230,419,1,3,1,2351,0,2,4,1,0,0
231,420,1,3,1,2351,0,2,4,1,0,0
232,421,1,3,1,2351,0,2,4,1,0,0
233,422,1,3,1,2351,0,2,4,1,0,0
234,423,1,3,1,2351,0,2,4,1,0,0
235,424,1,3,1,2351,0,2,4,1,0,0
236,425,1,3,1,2351,0,2,4,1,0,0
237,426,1,3,1,2351,0,2,4,1,0,0
238,427,1,3,1,2351,0,2,4,1,0,0
239,428,1,3,1,2351,0,2,4,1,0,0
240,429,1,3,1,2351,0,2,4,1,0,0
241,430,1,3,1,2351,0,2,4,1,0,0
242,431,1,3,1,2351,0,2,4,1,0,0
243,432,1,3,1,2351,0,2,4,1,0,0
244,433,1,3,1,2351,0,2,4,1,0,0
245,434,1,3,1,2351,0,2,4,1,0,0
246,435,1,3,1,2351,0,2,4,1,0,0
247,436,1,3,1,2351,0,2,4,1,0,0
248,437,1,3,1,2351,0,2,4,1,0,0
249,438,1,3,1,2351,0,2,4,1,0,0
250,439,1,3,1,2351,0,2,4,1,0,0
251,440,1,3,1,2351,0,2,4,1,0,0
252,441,1,3,1,2351,0,2,4,1,0,0
253,442,1,3,1,2351,0,2,4,1,0,0
254,443,1,3,1,2351,0,2,4,1,0,0
255,444,1,3,1,2351,0,2,4,1,0,0
256,445,1,3,1,2351,0,2,4,1,0,0
257,446,1,3,1,2351,0,2,4,1,0,0
258,447,1,3,1,2351,0,2,4,1,0,0
259,448,1,3,1,2351,0,2,4,1,0,0
260,449,1,3,1,2351,0,2,4,1,0,0
261,450,1,3,1,2351,0,2,4,1,0,0
262,451,1,3,1,2351,0,2,4,1,0,0
263,452,1,3,1,2351,0,2,4,1,0,0
264,453,1,3,1,2351,0,2,4,1,0,0
265,454,1,3,1,2351,0,2,4,1,0,0
266,455,1,3,1,2351,0,2,4,1,0,0
267,456,1,3,1,2351,0,2,4,1,0,0
268,457,1,3,1,2351,0,2,4,1,0,0
269,458,1,3,1,2351,0,2,4,1,0,0
270,459,1,3,1,2351,0,2,4,1,0,0
271,460,1,3,1,2351,0,2,4,1,0,0
272,461,1,3,1,2351,0,2,4,1,0,0
273,462,1,3,1,2351,0,2,4,1,0,0
274,463,1,3,1,2351,0,2,4,1,0,0
275,464,1,3,1,2351,0,2,4,1,0,0
276,465,1,3,1,2351,0,2,4,1,0,0
277,466,1,3,1,2351,0,2,4,1,0,0
278,467,1,3,1,2351,0,2,4,1,0,0
279,468,1,3,1,2351,0,2,4,1,0,0
280,469,1,3,1,2351,0,2,4,1,0,0
281,470,1,3,1,2351,0,2,4,1,0,0
282,471,1,3,1,2351,0,2,4,1,0,0
283,472,1,3,1,2351,0,2,4,1,0,0
284,473,1,3,1,2351,0,2,4,1,0,0
285,474,1,3,1,2351,0,2,4,1,0,0
286,475,1,3,1,2351,0,2,4,1,0,0
287,476,1,3,1,2351,0,2,4,1,0,0
288,477,1,3,1,2351,0,2,4,1,0,0
289,478,1,3,1,2351,0,2,4,1,0,0
290,479,1,3,1,2351,0,2,4,1,0,0
291,480,1,3,1,2351,0,2,4,1,0,0
292,481,1,3,1,2351,0,2,4,1,0,0
293,482,1,3,1,2351,0,2,4,1,0,0
294,483,1,3,1,2351,0,2,4,1,0,0
295,484,1,3,1,2351,0,2,4,1,0,0
296,485,1,3,1,2351,0,2,4,1,0,0
297,486,1,3,1,2351,0,2,4,1,0,0
298,487,1,3,1,2351,0,2,4,1,0,0
299,488,1,3,1,2351,0,2,4,1,0,0
300,489,1,3,1,2351,0,2,4,1,0,0
301,490,1,3,1,2351,0,2,4,1,0,0
302,491,1,3,1,2351,0,2,4,1,0,0
303,492,1,3,1,2351,0,2,4,1,0,0
304,493,1,3,1,2351,0,2,4,1,0,0
305,494,1,3,1,2351,0,2,4,1,0,0
306,495,1,3,1,2351,0,2,4,1,0,0
307,496,1,3,1,2351,0,2,4,1,0,0
308,497,1,3,1,2351,0,2,4,1,0,0
309,498,1,3,1,2351,0,2,4,1,0,0
310,499,1,3,1,2351,0,2,4,1,0,0
311,500,1,3,1,2351,0,2,4,1,0,0
312,501,1,3,1,2351,0,2,4,1,0,0
313,502,1,3,1,2351,0,2,4,1,0,0
314,503,1,3,1,2351,0,2,4,1,0,0
315,504,1,3,1,2351,0,2,4,1,0,0
316,505,1,3,1,2351,0,2,4,1,0,0
317,506,1,3,1,2351,0,2,4,1,0,0
318,507,1,3,1,2351,0,2,4,1,0,0
319,508,1,3,1,2351,0,2,4,1,0,0
320,509,1,3,1,2351,0,2,4,1,0,0
321,510,1,3,1,2351,0,2,4,1,0,0
322,511,1,3,1,2351,0,2,4,1,0,0
323,512,1,3,1,2351,0,2,4,1,0,0
324,513,1,3,1,2351,0,2,4,1,0,0
325,514,1,3,1,2351,0,2,4,1,0,0
326,515,1,3,1,2351,0,2,4,1,0,0
327,516,1,3,1,2351,0,2,4,1,0,0
328,517,1,3,1,2351,0,2,4,1,0,0
329,518,1,3,1,2351,0,2,4,1,0,0
330,519,1,3,1,2351,0,2,4,1,0,0
331,520,1,3,1,2351,0,2,4,1,0,0
332,521,1,3,1,2351,0,2,4,1,0,0
333,522,1,3,1,2351,0,2,4,1,0,0
334,523,1,3,1,2351,0,2,4,1,0,0
335,524,1,3,1,2351,0,2,4,1,0,0
336,525,1,3,1,2351,0,2,4,1,0,0
337,526,1,3,1,2351,0,2,4,1,0,0
338,527,1,3,1,2351,0,2,4,1,0,0
339,528,1,3,1,2351,0,2,4,1,0,0
340,529,1,3,1,2351,0,2,4,1,0,0
341,530,1,3,1,2351,0,2,4,1,0,0
342,531,1,3,1,2351,0,2,4,1,0,0
343,532,1,3,1,2351,0,2,4,1,0,0
344,533,1,3,1,2351,0,2,4,1,0,0
345,534,1,3,1,2351,0,2,4,1,0,0
346,535,1,3,1,2351,0,2,4,1,0,0
347,536,1,3,1,2351,0,2,4,1,0,0
348,537,1,3,1,2351,0,2,4,1,0,0
349,538,1,3,1,2351,0,2,4,1,0,0
350,539,1,3,1,2351,0,2,4,1,0,0
351,540,1,3,1,2351,0,2,4,1,0,0
352,541,1,3,1,2351,0,2,4,1,0,0
353,542,1,3,1,2351,0,2,4,1,0,0
354,543,1,3,1,2351,0,2,4,1,0,0
355,544,1,3,1,2351,0,2,4,1,0,0
356,545,1,3,1,2351,0,2,4,1,0,0
357,546,1,3,1,2351,0,2,4,1,0,0
358,547,1,3,1,2351,0,2,4,1,0,0
359,548,1,3,1,2351,0,2,4,1,0,0
360,549,1,3,1,2351,0,2,4,1,0,0
361,550,1,3,1,2351,0,2,4,1,0,0
362,551,1,3,1,2351,0,2,4,1,0,0
363,552,1,3,1,2351,0,2,4,1,0,0
364,553,1,3,1,2351,0,2,4,1,0,0
365,554,1,3,1,2351,0,2,4,1,0,0
366,555,1,3,1,2351,0,2,4,1,0,0
367,556,1,3,1,2351,0,2,4,1,0,0
368,557,1,3,1,2351,0,2,4,1,0,0
